"Razão Social (Registro ANS)";"Cobertura";"Porte";"Classificação no Mês";"Classificação no Mês Anterior";"Fev/20";"Jan/20";"Dez/19";"Nov/19";"Out/19";"Set/19";"Ago/19";"Jul/19";"Jun/19";"Mai/19";"Abr/19";"Mar/19";"Competência";"Data de atualização"
"UNIMED DE BAURU COOPERATIVA DE TRABALHO MÉDICO (369659)";"Médico Hospitalar";"Médio";"136";"140";"   1,18";"   1,18";"   1,60";"   1,70";"   2,01";"   2,00";"   1,58";"   1,26";"   1,04";"   1,35";"   1,87";"   1,97";"202002";"26/03/2020 09:14:21"
"UNIMED DE BEBEDOURO COOPERATIVA DE TRABALHO MÉDICO (331341)";"Médico Hospitalar";"Médio";"106";"113";"   1,64";"   1,64";"   1,63";"   2,33";"   2,10";"   1,87";"   1,17";"   1,63";"   1,63";"   1,63";"   1,16";"   1,16";"202002";"26/03/2020 09:14:21"
"UNIMED DE BIRIGUI - COOPERATIVA DE TRABALHO MÉDICO (345776)";"Médico Hospitalar";"Pequeno";"148";"116";"   1,02";"   2,04";"   2,05";"   1,54";"   0,51";"   0,51";"   2,58";"   3,07";"   3,06";"   1,51";"   2,51";"   2,00";"202002";"26/03/2020 09:14:21"
"UNIMED DE BOTUCATU COOPERATIVA DE TRABALHO MÉDICO (304883)";"Médico Hospitalar";"Médio";"215";"218";"0,00";"0,00";"0,00";"   0,24";"   0,71";"   0,95";"   0,95";"   0,71";"   0,71";"   0,71";"   0,47";"   0,47";"202002";"26/03/2020 09:14:21"
"UNIMED DE BRUSQUE COOPERATIVA DE TRABALHO MÉDICO (348244)";"Médico Hospitalar";"Pequeno";"172";"151";"   0,57";"   1,14";"   1,15";"   1,74";"   1,18";"   1,19";"   1,20";"   1,21";"   1,84";"   1,87";"   1,89";"   0,63";"202002";"26/03/2020 09:14:21"
"UNIMED DE CAÇAPAVA - COOPERATIVA DE TRABALHO MEDICO (334154)";"Médico Hospitalar";"Pequeno";"128";"180";"   1,33";"   0,66";"   0,66";"   2,63";"   4,62";"   3,96";"   3,32";"   3,31";"   3,97";"   3,28";"   1,31";"   1,31";"202002";"26/03/2020 09:14:21"
"UNIMED DE CAMPOS COOPERATIVA DE TRABALHO MÉDICO (352683)";"Médico Hospitalar";"Médio";"42";"38";"   4,80";"   5,39";"   6,78";"   7,17";"   7,37";"   6,98";"   6,99";"   6,02";"   5,04";"   4,86";"   5,86";"   5,43";"202002";"26/03/2020 09:14:21"
"UNIMED DE CAPIVARI -COOPERATIVA DE TRABALHO MÉDICO (366340)";"Médico Hospitalar";"Pequeno";"150";"119";"   1,01";"   2,01";"   2,01";"   1,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"UNIMED DE CASCAVEL COOPERATIVA DE TRABALHO MÉDICO (370070)";"Médico Hospitalar";"Médio";"166";"178";"   0,67";"   0,56";"   0,56";"   0,78";"   1,01";"   1,01";"   1,01";"   1,02";"   1,47";"   2,14";"   2,03";"   1,57";"202002";"26/03/2020 09:14:21"
"UNIMED DE CATALÃO COOPERATIVA DE TRABALHO MÉDICO (324566)";"Médico Hospitalar";"Pequeno";"175";"195";"   0,56";"0,00";"   1,11";"   1,11";"   1,12";"0,00";"0,00";"   1,13";"   1,13";"   1,69";"   1,13";"   3,94";"202002";"26/03/2020 09:14:21"
"UNIMED DE CATANDUVA - COOPERATIVA DE TRABALHO MÉDICO (351407)";"Médico Hospitalar";"Médio";"170";"180";"   0,54";"   0,54";"   0,54";"   0,53";"   0,26";"   0,26";"   0,26";"   0,26";"   0,50";"   0,73";"   0,97";"   1,20";"202002";"26/03/2020 09:14:21"
"UNIMED DE CIANORTE - COOPERATIVA DE TRABALHO MEDICO  (354627)";"Médico Hospitalar";"Pequeno";"109";"171";"   1,66";"   0,83";"   0,83";"0,00";"   0,84";"   0,84";"   0,84";"0,00";"0,00";"   0,84";"   1,69";"   1,69";"202002";"26/03/2020 09:14:21"
"UNIMED DE CORUMBA COOPERATIVA DE TRABALHO MÉDICO (344788)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"   3,06";"   3,00";"   5,83";"   2,91";"   2,89";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"UNIMED DE CRICIÚMA COOPERATIVA DE TRABALHO MÉDICO DA REGIÃO CARBONÍFERA (329339)";"Médico Hospitalar";"Médio";"137";"168";"   1,15";"   0,73";"   1,17";"   1,49";"   1,81";"   1,37";"   1,07";"   1,08";"   0,93";"   0,94";"   0,94";"   0,79";"202002";"26/03/2020 09:14:21"
"UNIMED DE DOURADOS COOPERATIVA DE TRABALHO MÉDICO LTDA (333662)";"Médico Hospitalar";"Médio";"114";"130";"   1,32";"   1,31";"   1,96";"   1,95";"   1,94";"   2,90";"   3,86";"   5,14";"   4,17";"   2,88";"   1,91";"   1,91";"202002";"26/03/2020 09:14:21"
"UNIMED DE DRACENA - COOPERATIVA DE TRABALHO MÉDICO (314781)";"Médico Hospitalar";"Pequeno";"65";"137";"   4,04";"   1,36";"0,00";"   1,36";"   2,72";"   2,72";"   1,36";"   1,35";"   1,34";"   1,33";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"UNIMED DE FERNANDOPOLIS - COOPERATIVA DE TRABALHO MÉDICO (326089)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"   1,47";"   1,47";"   1,48";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"UNIMED DE FORTALEZA SOCIEDADE COOPERATIVA MÉDICA LTDA. (317144)";"Médico Hospitalar";"Grande";"22";"23";"   5,04";"   5,02";"   5,22";"   6,36";"   7,32";"   7,65";"   7,01";"   6,33";"   5,95";"   5,00";"   4,67";"   4,70";"202002";"26/03/2020 09:14:21"
"UNIMED DE GUARATINGUETA-COOPERATIVA DE TRABALHO MÉDICO (355577)";"Médico Hospitalar";"Pequeno";"136";"152";"   1,13";"   1,14";"   2,29";"   3,48";"   3,50";"   1,17";"0,00";"0,00";"   1,19";"   1,20";"   1,19";"   1,20";"202002";"26/03/2020 09:14:21"
"UNIMED DE GUARULHOS COOPERATIVA DE TRABALHO MÉDICO (333051)";"Médico Hospitalar";"Médio";"56";"58";"   3,86";"   4,23";"   4,61";"   4,24";"   4,73";"   4,59";"   4,20";"   4,65";"   5,09";"   5,50";"   5,09";"   4,82";"202002";"26/03/2020 09:14:21"
"UNIMED DE IBITINGA COOPERATIVA DE TRABALHO MÉDICO (365238)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"UNIMED DE ITAPEVA - COOPERATIVA DE TRABALHO MÉDICO (327468)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   0,96";"   0,96";"   0,95";"0,00";"202002";"26/03/2020 09:14:21"
"UNIMED DE ITATIBA COOPERATIVA DE TRABALHO MÉDICO (415014)";"Médico Hospitalar";"Médio";"93";"101";"   1,86";"   1,87";"   1,88";"   2,35";"   2,37";"   2,86";"   1,44";"   1,49";"   1,03";"   2,13";"   1,61";"   2,15";"202002";"26/03/2020 09:14:21"
"UNIMED DE JABOTICABAL COOP. DE TRABALHO MÉDICO (329886)";"Médico Hospitalar";"Médio";"197";"218";"   0,36";"0,00";"   0,35";"   1,03";"   1,02";"   1,02";"   0,34";"   1,02";"   1,37";"   1,71";"   1,03";"   0,69";"202002";"26/03/2020 09:14:21"
"UNIMED DE JATAÍ COOPERATIVA DE TRABALHO MÉDICO LTDA. (334847)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"   1,42";"   1,42";"   1,43";"0,00";"0,00";"   1,48";"   1,50";"   1,49";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"UNIMED DE JOINVILLE COOPERATIVA DE TRABALHO MÉDICO (321273)";"Médico Hospitalar";"Grande";"60";"61";"   1,33";"   1,48";"   1,28";"   1,65";"   2,32";"   3,00";"   2,18";"   2,01";"   1,46";"   1,76";"   1,39";"   1,20";"202002";"26/03/2020 09:14:21"
"UNIMED DE LENÇOIS PAULISTA - COOPERATIVA DE TRABALHO MÉDICO (325031)";"Médico Hospitalar";"Médio";"172";"193";"   0,50";"   0,51";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   0,55";"   0,55";"   0,55";"0,00";"202002";"26/03/2020 09:14:21"
"UNIMED DE LIMEIRA COOPERATIVA DE TRABALHO MÉDICO (301574)";"Médico Hospitalar";"Médio";"210";"214";"   0,22";"   0,22";"   0,45";"   0,67";"   1,11";"   1,76";"   1,98";"   1,75";"   0,65";"   0,86";"   0,88";"   1,11";"202002";"26/03/2020 09:14:21"
"UNIMED DE LINS - COOPERATIVA DE TRABALHOS MÉDICOS (354279)";"Médico Hospitalar";"Pequeno";"127";"139";"   1,34";"   1,33";"0,00";"0,00";"0,00";"   0,66";"   0,66";"   0,67";"0,00";"   2,01";"   1,98";"   1,98";"202002";"26/03/2020 09:14:21"
"UNIMED DE LONDRINA COOPERATIVA DE TRABALHO MÉDICO (343269)";"Médico Hospitalar";"Grande";"66";"65";"   0,96";"   0,96";"   0,97";"   1,19";"   1,24";"   1,46";"   1,45";"   1,94";"   1,56";"   1,61";"   1,40";"   1,82";"202002";"26/03/2020 09:14:21"
"UNIMED DE LORENA COOPERATIVA DE TRABALHO MÉDICO (385620)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"   1,44";"   1,43";"   2,86";"   4,28";"   5,68";"   5,68";"   2,83";"   2,82";"   1,40";"   1,38";"202002";"26/03/2020 09:14:21"
"UNIMED DE MACAÉ COOPERATIVA DE ASSISTÊNCIA À SAÚDE (302953)";"Médico Hospitalar";"Médio";"109";"89";"   1,56";"   2,14";"   2,92";"   3,54";"   3,83";"   3,53";"   3,15";"   3,96";"   3,64";"   4,12";"   3,33";"   3,61";"202002";"26/03/2020 09:14:21"
"UNIMED DE MANAUS COOP. DO TRABALHO MÉDICO LTDA (311961)";"Médico Hospitalar";"Médio";"3";"3";"  15,32";"  19,24";"  23,33";"  27,18";"  26,71";"  25,82";"  23,98";"  23,89";"  21,99";"  21,68";"  17,51";"  15,45";"202002";"26/03/2020 09:14:21"
"UNIMED DE MARILIA COOPERATIVA DE TRABALHO MÉDICO (336106)";"Médico Hospitalar";"Médio";"125";"107";"   1,24";"   1,73";"   1,60";"   1,73";"   0,99";"   1,11";"   0,99";"   1,35";"   1,23";"   1,11";"   1,11";"   0,99";"202002";"26/03/2020 09:14:21"
"UNIMED DE MINEIROS COOPERATIVA DE TRABALHO MÉDICO  (357715)";"Médico Hospitalar";"Pequeno";"121";"136";"   1,38";"   1,36";"   1,36";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"UNIMED DE MOCOCA COOPERATIVA DE TRAB. MÉDICO (328308)";"Médico Hospitalar";"Pequeno";"71";"93";"   3,52";"   2,63";"   1,75";"   1,75";"0,00";"0,00";"0,00";"   0,86";"   1,68";"   1,66";"   0,83";"0,00";"202002";"26/03/2020 09:14:21"
"UNIMED DE MONTE ALTO - COOPERATIVA DE TRABALHO MÉDICO (309524)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   4,23";"   4,24";"202002";"26/03/2020 09:14:21"
"UNIMED DE OURINHOS - COOPERATIVA DE TRABALHO MÉDICO (311294)";"Médico Hospitalar";"Médio";"101";"84";"   1,69";"   2,36";"   3,37";"   3,03";"   2,36";"   0,67";"   0,67";"   0,34";"   0,34";"   1,01";"   1,34";"   1,68";"202002";"26/03/2020 09:14:21"
"UNIMED DE PARANAGUÁ COOPERATIVA DE TRABALHO MÉDICO (361615)";"Médico Hospitalar";"Médio";"158";"118";"   0,76";"   1,51";"   1,51";"   1,51";"   1,51";"   0,76";"   1,13";"   0,75";"   1,12";"   1,11";"   1,10";"   0,72";"202002";"26/03/2020 09:14:21"
"UNIMED DE PARANAVAÍ COOPERATIVA DE TRABALHO MÉDICO (320862)";"Médico Hospitalar";"Médio";"118";"160";"   1,31";"   0,87";"   1,30";"   1,74";"   2,18";"   2,20";"   1,33";"   2,23";"   1,79";"   1,79";"   1,35";"   0,90";"202002";"26/03/2020 09:14:21"
"UNIMED DE PENAPOLIS - COOPERATIVA DE TRABALHO MEDICO (323004)";"Médico Hospitalar";"Pequeno";"94";"114";"   2,09";"   2,09";"   6,25";"  10,39";"   8,31";"   4,16";"   2,08";"   2,09";"   4,17";"   2,08";"   2,08";"   2,08";"202002";"26/03/2020 09:14:21"
"UNIMED DE PINDAMONHANGABA - COOPERATIVA TRABALHO MEDICO (342343)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"   0,84";"   0,83";"   1,65";"   0,82";"   0,83";"0,00";"0,00";"   1,68";"   2,51";"202002";"26/03/2020 09:14:21"
"UNIMED DE PIRACICABA SOCIEDADE COOPERATIVA DE SERVIÇOS MÉDICOS (315729)";"Médico Hospitalar";"Grande";"40";"46";"   2,58";"   2,39";"   2,54";"   2,69";"   2,36";"   1,67";"   1,54";"   1,97";"   2,39";"   2,66";"   2,24";"   1,96";"202002";"26/03/2020 09:14:21"
"UNIMED DE PIRASSUNUNGA COOPERATIVA DE TRABALHO MÉDICO (314242)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"   1,19";"   1,18";"   1,18";"0,00";"0,00";"0,00";"0,00";"0,00";"   1,20";"   2,41";"202002";"26/03/2020 09:14:21"
"UNIMED DE PRESIDENTE PRUDENTE COOPERATIVA DE TRAB. MÉDICO (315796)";"Médico Hospitalar";"Médio";"168";"215";"   0,61";"   0,20";"   0,20";"   0,41";"   0,41";"   0,41";"   0,21";"   0,21";"   0,31";"   0,31";"   0,41";"   0,41";"202002";"26/03/2020 09:14:21"
"UNIMED DE REGISTRO COOPERATIVA DE TRABALHO MÉDICO (351776)";"Médico Hospitalar";"Pequeno";"120";"195";"   1,38";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   1,38";"   2,77";"   6,93";"   5,53";"   5,49";"202002";"26/03/2020 09:14:21"
"UNIMED DE RIBEIRAO PRETO - COOPERATIVA DE TRABALHO MÉDICO (351202)";"Médico Hospitalar";"Grande";"61";"57";"   1,22";"   1,66";"   2,46";"   2,78";"   3,01";"   2,43";"   2,37";"   1,65";"   1,74";"   1,29";"   1,76";"   1,54";"202002";"26/03/2020 09:14:21"
"UNIMED DE RIO CLARO SP COOPERATIVA DE TRABALHO MEDICO (306126)";"Médico Hospitalar";"Médio";"207";"211";"   0,26";"   0,26";"   0,26";"   0,26";"   0,77";"   0,52";"   0,78";"   0,26";"   0,26";"0,00";"   0,26";"   0,26";"202002";"26/03/2020 09:14:21"
"UNIMED DE SANTA BÁRBARA D'OESTE E AMERICANA - COOP DE TRABALHO MÉDICO (369292)";"Médico Hospitalar";"Médio";"127";"108";"   1,22";"   1,72";"   2,10";"   1,97";"   1,47";"   0,99";"   0,50";"   1,37";"   1,48";"   1,71";"   1,44";"   2,01";"202002";"26/03/2020 09:14:21"
"UNIMED DE SANTOS COOP DE TRAB MEDICO (355721)";"Médico Hospitalar";"Grande";"53";"42";"   1,88";"   2,77";"   4,11";"   4,81";"   5,07";"   4,68";"   3,77";"   3,56";"   4,23";"   4,33";"   4,20";"   3,31";"202002";"26/03/2020 09:14:21"
"UNIMED DE SAO JOSÉ DO RIO PARDO-COOP. DE TRAB. MÉDICO (354619)";"Médico Hospitalar";"Pequeno";"151";"195";"   0,99";"0,00";"0,00";"0,00";"   1,00";"   1,01";"   1,02";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"UNIMED DE SÃO ROQUE - COOPERATIVA DE TRABALHO MÉDICO (318388)";"Médico Hospitalar";"Médio";"112";"91";"   1,42";"   2,14";"   1,08";"   1,08";"   0,36";"   0,72";"   1,07";"   1,76";"   1,41";"   2,10";"   1,05";"   1,04";"202002";"26/03/2020 09:14:21"
"UNIMED DE SOBRAL SOCIEDADE COOPERATIVA MÉDICA LTDA (303178)";"Médico Hospitalar";"Pequeno";"181";"142";"0,00";"   1,25";"   1,25";"   1,25";"0,00";"   2,53";"   3,79";"   3,79";"   1,89";"   0,63";"   1,26";"   1,26";"202002";"26/03/2020 09:14:21"
"UNIMED DE TATUI - COOPERATIVA DE TRABALHO MÉDICO (361941)";"Médico Hospitalar";"Pequeno";"176";"195";"   0,54";"0,00";"0,00";"   1,09";"   2,20";"   2,20";"   1,65";"   1,09";"   1,63";"   1,63";"   1,62";"   2,16";"202002";"26/03/2020 09:14:21"
"UNIMED DE TAUBATÉ COOPERATIVA DE TRABALHO MÉDICO (363286)";"Médico Hospitalar";"Pequeno";"64";"68";"   4,26";"   4,24";"   2,82";"   7,00";"   8,28";"   8,80";"   5,98";"   5,25";"   3,90";"   3,24";"   3,23";"   4,50";"202002";"26/03/2020 09:14:21"
"UNIMED DE TRES LAGOAS COOPERATIVA DE TRABALHO MÉDICO (342386)";"Médico Hospitalar";"Pequeno";"78";"85";"   2,92";"   3,02";"   4,49";"   2,99";"   4,47";"   3,03";"   1,52";"0,00";"0,00";"   1,51";"   3,04";"   3,04";"202002";"26/03/2020 09:14:21"
"UNIMED DE TUBARAO - COOPERATIVA DE TRABALHO MEDICO DA REGIAO DA AMUREL (364860)";"Médico Hospitalar";"Médio";"150";"139";"   0,94";"   1,18";"   0,48";"   0,49";"   0,50";"   0,77";"   1,29";"   1,31";"   1,33";"   1,08";"   1,09";"   1,10";"202002";"26/03/2020 09:14:21"
"UNIMED DE TUPA COOPERATIVA DE TRABALHO MÉDICO (365530)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"   0,99";"   0,99";"   0,99";"0,00";"0,00";"   1,00";"   1,00";"   1,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"UNIMED DE UBA COOPERATIVA DE TRABALHO MEDICO (362573)";"Médico Hospitalar";"Pequeno";"147";"161";"   1,02";"   1,02";"   1,02";"   2,03";"   1,01";"   1,01";"   1,00";"   2,00";"   3,00";"   2,00";"   1,99";"   1,00";"202002";"26/03/2020 09:14:21"
"UNIMED DE VOLTA REDONDA COOPERATIVA DE TRABALHO MÉDICO (364584)";"Médico Hospitalar";"Médio";"58";"51";"   3,77";"   4,66";"   6,00";"   7,50";"   7,67";"   7,39";"   7,12";"   6,71";"   6,46";"   5,25";"   4,63";"   3,70";"202002";"26/03/2020 09:14:21"
"UNIMED DE VOTUPORANGA - COOPERATIVA DE TRABALHO MÉDICO (328073)";"Médico Hospitalar";"Pequeno";"138";"154";"   1,12";"   1,13";"   1,13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"UNIMED DIVINOPOLIS - COOPERATIVA DE TRABALHO MEDICO LTDA (319121)";"Médico Hospitalar";"Grande";"71";"67";"   0,56";"   0,79";"   0,85";"   0,91";"   0,79";"   1,25";"   1,42";"   1,36";"   1,01";"   0,73";"   0,89";"   1,11";"202002";"26/03/2020 09:14:21"
"UNIMED DO CARIRI - SOCIEDADE COOPERATIVA MÉDICA LTDA (356123)";"Médico Hospitalar";"Médio";"80";"100";"   2,24";"   1,95";"   2,21";"   3,84";"   4,65";"   4,11";"   1,92";"   1,37";"   2,48";"   3,33";"   3,88";"   3,04";"202002";"26/03/2020 09:14:21"
"UNIMED DO CEARÁ - FEDERAÇÃO DAS SOCIEDADES COOPERATIVAS MÉDICAS DO ESTADO DO CEARÁ LTDA. (321958)";"Médico Hospitalar";"Médio";"47";"47";"   4,53";"   5,10";"   5,13";"   5,47";"   4,66";"   6,90";"   7,83";"   7,71";"   5,50";"   3,87";"   4,89";"   3,53";"202002";"26/03/2020 09:14:21"
"UNIMED DO ESTADO DE SANTA CATARINA FED. EST. DAS COOP. MÉD. (355691)";"Médico Hospitalar";"Grande";"59";"54";"   1,61";"   1,85";"   1,38";"   1,58";"   1,27";"   1,34";"   1,02";"   1,15";"   1,10";"   1,23";"   1,04";"   0,90";"202002";"26/03/2020 09:14:21"
"UNIMED DO ESTADO DE SÃO PAULO - FEDERAÇÃO ESTADUAL DAS COOP. MÉDICAS (319996)";"Médico Hospitalar";"Grande";"50";"50";"   1,95";"   2,20";"   2,91";"   3,57";"   3,87";"   3,88";"   3,64";"   3,98";"   4,71";"   5,21";"   5,97";"   5,30";"202002";"26/03/2020 09:14:21"
"UNIMED DO ESTADO DO PARANÁ FEDERAÇÃO ESTADUAL DAS COOPERATIVAS MÉDICAS (312720)";"Médico Hospitalar";"Grande";"42";"52";"   2,45";"   2,13";"   3,14";"   2,89";"   2,71";"   1,90";"   1,97";"   2,75";"   3,29";"   3,13";"   2,63";"   1,97";"202002";"26/03/2020 09:14:21"
"UNIMED DO OESTE DA BAHIA COOPERATIVA DE TRABALHO MÉDICO (325082)";"Médico Hospitalar";"Pequeno";"123";"91";"   1,36";"   2,70";"   1,34";"   1,33";"0,00";"0,00";"0,00";"   1,32";"   1,31";"   1,31";"   2,63";"   2,64";"202002";"26/03/2020 09:14:21"
"UNIMED DO OESTE DO PARANÁ - COOP. DE TRABALHO MEDICO (305227)";"Médico Hospitalar";"Médio";"215";"218";"0,00";"0,00";"0,00";"   0,87";"   0,87";"   1,30";"   0,43";"   0,43";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"UNIMED DO RIO GRANDE DO NORTE - FEDERAÇÃO DAS SOCIEDADES COOPERATIVAS DE TRABALHO MÉDICO (348406)";"Médico Hospitalar";"Médio";"21";"16";"   7,29";"   8,59";"   8,98";"   6,12";"   5,79";"   5,51";"   6,74";"   6,12";"   4,29";"   3,34";"   2,02";"   3,00";"202002";"26/03/2020 09:14:21"
"UNIMED DO SUDOESTE COOPERATIVA DE TRABALHO MEDICO LTDA (350371)";"Médico Hospitalar";"Médio";"31";"39";"   5,96";"   5,36";"   6,63";"   7,60";"   7,89";"   7,85";"   8,72";"  10,21";"   8,60";"   6,10";"   6,66";"   7,53";"202002";"26/03/2020 09:14:21"
"UNIMED ENCOSTA DA SERRA/RS SOCIEDADE COOPERATIVA DE SERVIÇOS DE SAÚDE LTDA. (311715)";"Médico Hospitalar";"Médio";"156";"210";"   0,80";"   0,27";"0,00";"0,00";"   0,55";"   0,55";"   0,83";"   0,55";"   0,55";"   0,28";"   0,28";"   0,56";"202002";"26/03/2020 09:14:21"
"UNIMED ERECHIM - COOPERATIVA DE SERVIÇOS DE SAÚDE LTDA. (357022)";"Médico Hospitalar";"Médio";"215";"218";"0,00";"0,00";"0,00";"0,00";"   0,48";"   0,48";"   0,49";"0,00";"0,00";"0,00";"   0,49";"   0,50";"202002";"26/03/2020 09:14:21"
"UNIMED EXTREMO OESTE CATARINENSE COOPERATIVA DE TRABALHO MÉDICO (340251)";"Médico Hospitalar";"Pequeno";"104";"125";"   1,81";"   1,81";"   1,82";"   0,91";"   1,84";"   1,84";"   0,92";"0,00";"0,00";"   0,94";"   0,94";"   1,87";"202002";"26/03/2020 09:14:21"
"UNIMED EXTREMO SUL COOPERATIVA DE TRABALHO MÉDICO (346209)";"Médico Hospitalar";"Médio";"98";"85";"   1,79";"   2,22";"   1,33";"   1,34";"   0,89";"   1,34";"   2,23";"   3,11";"   2,21";"   2,21";"   1,32";"   2,20";"202002";"26/03/2020 09:14:21"
"UNIMED FOZ DO IGUACU COOPERATIVA TRABALHO MEDICO (351792)";"Médico Hospitalar";"Médio";"104";"112";"   1,66";"   1,66";"   4,16";"   4,61";"   3,79";"   2,54";"   2,12";"   3,40";"   1,70";"   2,12";"   1,27";"   1,70";"202002";"26/03/2020 09:14:21"
"UNIMED FRANCA - SOCIEDADE COOPERATIVA DE SERVIÇOS MÉDICOS E HOSPITALARES (354783)";"Médico Hospitalar";"Médio";"204";"179";"   0,27";"   0,55";"   0,96";"   1,37";"   0,96";"   0,55";"   0,27";"   0,55";"   0,55";"   0,55";"   0,55";"   1,36";"202002";"26/03/2020 09:14:21"
"UNIMED FRANCISCO BELTRAO COOPERATIVA DE TRABALHO MEDICO (336858)";"Médico Hospitalar";"Pequeno";"110";"155";"   1,65";"   1,10";"   0,55";"   0,55";"   0,55";"0,00";"   0,55";"   0,55";"   0,55";"   0,55";"   0,55";"   0,55";"202002";"26/03/2020 09:14:21"
"UNIMED FRONTEIRA NOROESTE/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA. (352179)";"Médico Hospitalar";"Médio";"215";"218";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   0,46";"   0,46";"202002";"26/03/2020 09:14:21"
"UNIMED FRUTAL COOPERATIVA DE TRABALHO MEDICO LTDA (371564)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   1,16";"   1,18";"   1,19";"0,00";"202002";"26/03/2020 09:14:21"
"UNIMED GOIANIA COOPERATIVA DE TRABALHO MÉDICO (382876)";"Médico Hospitalar";"Grande";"43";"39";"   2,44";"   3,09";"   4,21";"   4,27";"   4,80";"   4,29";"   4,30";"   3,34";"   3,40";"   3,43";"   3,26";"   3,67";"202002";"26/03/2020 09:14:21"
"UNIMED GOVERNADOR VALADARES COOP. DE TRABALHO MÉDICO LTDA. (386588)";"Médico Hospitalar";"Médio";"115";"132";"   1,32";"   1,29";"   2,23";"   2,06";"   2,69";"   2,37";"   3,16";"   3,31";"   3,00";"   2,05";"   2,21";"   3,47";"202002";"26/03/2020 09:14:21"
"UNIMED GRANDE FLORIANÓPOLIS-COOPERATIVA DE TRABALHO MEDICO (360449)";"Médico Hospitalar";"Grande";"29";"28";"   4,11";"   4,51";"   5,70";"   6,68";"   6,55";"   6,42";"   5,58";"   5,27";"   4,87";"   4,81";"   4,87";"   4,78";"202002";"26/03/2020 09:14:21"
"UNIMED GUARAPUAVA COOPERATIVA DE TRABALHO MÉDICO (322571)";"Médico Hospitalar";"Médio";"144";"173";"   1,00";"   0,67";"0,00";"0,00";"   1,00";"   1,01";"   2,01";"   1,34";"   1,68";"   0,67";"   0,67";"   0,34";"202002";"26/03/2020 09:14:21"
"UNIMED GUAXUPÉ COOPERATIVA DE TRABALHO MEDICO (318035)";"Médico Hospitalar";"Pequeno";"181";"143";"0,00";"   1,22";"   1,82";"   1,83";"   1,22";"   1,84";"   2,47";"   1,87";"   1,89";"   1,27";"   2,55";"   1,27";"202002";"26/03/2020 09:14:21"
"UNIMED GURUPI COOPERATIVA DE TRABALHO MÉDICO (301124)";"Médico Hospitalar";"Pequeno";"81";"195";"   2,76";"0,00";"0,00";"   0,93";"   1,86";"   1,87";"   2,82";"   1,88";"   3,76";"   2,85";"   2,88";"   2,91";"202002";"26/03/2020 09:14:21"
"UNIMED IMPERATRIZ COOPERATIVA DE TRABALHO MÉDICO (352543)";"Médico Hospitalar";"Médio";"16";"22";"   8,66";"   7,78";"   6,99";"   7,69";"   7,65";"   7,58";"   5,74";"   4,29";"   3,58";"   3,59";"   4,30";"   4,66";"202002";"26/03/2020 09:14:21"
"UNIMED INCONFIDENTES COOPERATIVA DE TRABALHO MÉDICO LTDA. (304395)";"Médico Hospitalar";"Pequeno";"139";"110";"   1,08";"   2,18";"   2,74";"   2,21";"   1,67";"   1,12";"   1,68";"   2,25";"   1,69";"   1,13";"0,00";"   1,11";"202002";"26/03/2020 09:14:21"
